1;2026-06-01 11:07;208.34;1.94;206.40
2;2026-06-02 14:14;214.18;2.38;211.80
3;2026-06-03 17:21;220.02;2.81;217.21
4;2026-06-04 10:28;225.86;3.25;222.61
5;2026-06-05 13:35;231.70;3.69;228.01
6;2026-06-06 16:42;237.54;4.13;233.41
7;2026-06-07 09:49;243.38;4.57;238.81
8;2026-06-08 12:56;249.22;5.00;244.22
9;2026-06-09 15:03;255.06;5.44;249.62
10;2026-06-10 08:10;260.90;5.88;255.02
11;2026-06-11 11:17;364.87;5.96;358.91
12;2026-06-12 14:24;411.90;8.09;403.81
13;2026-06-13 17:31;460.39;10.30;450.09
14;2026-06-14 10:38;510.34;25.15;485.19
15;2026-06-15 13:45;561.75;29.86;531.89
16;2026-06-16 16:52;614.62;34.70;579.92
17;2026-06-17 09:59;713.06;66.17;646.89
18;2026-06-18 12:06;769.58;73.99;695.59
19;2026-06-19 15:13;827.56;82.03;745.53
20;2026-06-20 08:20;701.80;41.67;660.13
21;2026-06-21 11:27;256.21;0.00;256.21
22;2026-06-22 14:34;261.32;0.00;261.32
23;2026-06-23 17:41;266.43;0.00;266.43
24;2026-06-24 10:48;271.54;0.00;271.54
25;2026-06-25 13:55;276.65;0.00;276.65
26;2026-06-26 16:02;281.76;0.00;281.76
27;2026-06-27 09:09;286.87;0.00;286.87
28;2026-06-28 12:16;291.98;0.00;291.98
29;2026-06-29 15:23;297.09;0.00;297.09
30;2026-06-30 08:30;302.20;0.00;302.20
